Região Política;Cidade e UF;Data Convênio;Data Denúncia
Centro-Oeste;Santo Antônio do Leste - MT;09/02/2009;23/12/2020
Centro-Oeste;Santo Antônio do Leste - MT;18/08/2021;
Centro-Oeste;Santo Antônio do Leverger - MT;10/09/2014;
Centro-Oeste;São Domingos - GO;07/05/2010;
Centro-Oeste;São Félix do Araguaia - MT;09/02/2009;
Centro-Oeste;São Francisco de Goiás - GO;11/11/2009;04/12/2020
Centro-Oeste;São Gabriel do Oeste - MS;09/02/2009;
Centro-Oeste;São João d'Aliança - GO;09/02/2009;
Centro-Oeste;São José do Povo - MT;11/11/2013;03/12/2018
Centro-Oeste;São José do Rio Claro - MT;09/02/2009;
Centro-Oeste;São José do Xingu - MT;11/11/2009;
Centro-Oeste;São José dos Quatro Marcos - MT;13/08/2009;03/12/2018
Centro-Oeste;São José dos Quatro Marcos - MT;06/07/2023;
Centro-Oeste;São Luís de Montes Belos - GO;09/02/2009;
Centro-Oeste;São Luíz do Norte - GO;11/11/2013;04/12/2020
Centro-Oeste;São Luíz do Norte - GO;16/09/2022;
Centro-Oeste;São Miguel do Araguaia - GO;02/02/2011;
Centro-Oeste;São Miguel do Passa Quatro - GO;09/02/2009;
Centro-Oeste;São Patrício - GO;11/11/2009;03/12/2018
Centro-Oeste;São Pedro da Cipa - MT;03/06/2015;03/12/2018
Centro-Oeste;São Pedro da Cipa - MT;19/05/2020;
Centro-Oeste;São Simão - GO;09/02/2009;03/12/2018
Centro-Oeste;Sapezal - MT;09/02/2009;
Centro-Oeste;Selvíria - MS;04/12/2008;04/10/2023
Centro-Oeste;Senador Canedo - GO;09/02/2009;03/12/2018
Centro-Oeste;Senador Canedo - GO;28/05/2019;
Centro-Oeste;Serranópolis - GO;05/03/2009;03/12/2018
Centro-Oeste;Serranópolis - GO;02/08/2019;
Centro-Oeste;Sete Quedas - MS;04/12/2008;
Centro-Oeste;Sidrolândia - MS;09/02/2009;
Centro-Oeste;Silvânia - GO;14/05/2013;
Centro-Oeste;Simolândia - GO;06/08/2013;03/12/2018
Centro-Oeste;Sinop - MT;09/02/2009;
Centro-Oeste;Sítio d'Abadia - GO;05/03/2009;21/03/2019
Centro-Oeste;Sonora - MS;04/12/2008;
Centro-Oeste;Sorriso - MT;09/02/2009;
Centro-Oeste;Tabaporã - MT;11/03/2013;
Centro-Oeste;Tacuru - MS;07/01/2009;04/12/2020
Centro-Oeste;Tacuru - MS;02/06/2021;
Centro-Oeste;Tangará da Serra - MT;09/02/2009;
Centro-Oeste;Tapurah - MT;04/03/2011;
Centro-Oeste;Taquaral de Goiás - GO;14/04/2009;03/12/2018
Centro-Oeste;Taquarussu - MS;14/04/2009;
Centro-Oeste;Terenos - MS;04/12/2008;
Centro-Oeste;Teresina de Goiás - GO;05/03/2009;03/12/2018
Centro-Oeste;Terezópolis de Goiás - GO;09/02/2009;03/12/2018
Centro-Oeste;Terra Nova do Norte - MT;09/02/2009;
Centro-Oeste;Torixoréu - MT;11/07/2013;03/12/2018
Centro-Oeste;Torixoréu - MT;27/09/2019;
Centro-Oeste;Três Lagoas - MS;04/12/2008;
Centro-Oeste;Três Ranchos - GO;09/02/2009;03/12/2018
Centro-Oeste;Trindade - GO;12/09/2013;03/12/2018
Centro-Oeste;Trindade - GO;02/08/2019;
Centro-Oeste;Trombas - GO;09/02/2009;04/12/2020
Centro-Oeste;Turvânia - GO;11/11/2009;03/12/2018
Centro-Oeste;Turvelândia - GO;09/02/2009;
Centro-Oeste;Uirapuru - GO;09/02/2009;31/12/2018
Centro-Oeste;Uirapuru - GO;05/09/2023;
Centro-Oeste;União do Sul - MT;11/03/2013;
Centro-Oeste;Uruaçu - GO;09/02/2009;
Centro-Oeste;Uruana - GO;09/02/2009;03/12/2018
Centro-Oeste;Uruana - GO;27/09/2019;
Centro-Oeste;Urutaí - GO;05/03/2009;04/12/2020
Centro-Oeste;Vale de São Domingos - MT;11/07/2014;03/12/2018
Centro-Oeste;Vale de São Domingos - MT;02/08/2019;
Centro-Oeste;Varjão - GO;09/02/2009;03/12/2018
Centro-Oeste;Varjão - GO;16/03/2023;
Centro-Oeste;Várzea Grande - MT;10/09/2020;
Centro-Oeste;Vera - MT;09/02/2009;
Centro-Oeste;Vianópolis - GO;11/07/2013;04/12/2020
Centro-Oeste;Vianópolis - GO;29/07/2021;
Centro-Oeste;Vicentina - MS;09/02/2009;
Centro-Oeste;Vicentinópolis - GO;09/02/2009;
Centro-Oeste;Vila Bela da Santíssima Trindade - MT;12/09/2013;
Centro-Oeste;Vila Propício - GO;14/05/2013;23/12/2020
Centro-Oeste;Vila Propício - GO;30/08/2022;
Centro-Oeste;Vila Rica - MT;13/08/2009;
Nordeste;Abaíra - BA;24/02/2010;03/12/2018
Nordeste;Açailândia - MA;27/09/2019;
Nordeste;Acopiara - CE;07/01/2009;03/12/2018
Nordeste;Afrânio - PE;09/02/2009;03/12/2018
Nordeste;Águas Belas - PE;30/11/2021;
Nordeste;Alagoa Grande - PB;10/12/2009;04/12/2020
Nordeste;Alcântaras - CE;09/02/2009;03/12/2018
Nordeste;Alcobaça - BA;09/02/2009;03/12/2018
Nordeste;Alcobaça - BA;03/05/2021;
Nordeste;Amargosa - BA;09/02/2009;03/12/2018
Nordeste;Anajatuba - MA;09/02/2009;03/12/2018
Nordeste;Andorinha - BA;22/04/2013;03/12/2018
Nordeste;Angical - BA;18/11/2010;03/12/2018
Nordeste;Antônio Almeida - PI;30/08/2022;
Nordeste;Araripina - PE;13/08/2009;03/12/2018
Nordeste;Aratuba - CE;09/02/2009;03/12/2018
Nordeste;Arauá - SE;02/09/2015;03/12/2018
Nordeste;Aroazes - PI;09/02/2009;03/12/2018
Nordeste;Assunção - PB;09/02/2009;03/12/2018
Nordeste;Baianópolis - BA;13/08/2009;03/12/2018
Nordeste;Baianópolis - BA;24/10/2019;
Nordeste;Baixa Grande do Ribeiro - PI;07/06/2011;03/12/2018
Nordeste;Baixa Grande do Ribeiro - PI;10/09/2020;
Nordeste;Balsas - MA;04/08/2015;
Nordeste;Barbalha - CE;09/08/2011;03/12/2018
Nordeste;Barra - BA;13/08/2009;
Nordeste;Barra do Corda - MA;10/12/2009;03/12/2018
Nordeste;Barra do Mendes - BA;19/05/2009;03/12/2018
Nordeste;Barra do Rocha - BA;22/04/2013;03/12/2018
Nordeste;Barreiras - BA;13/08/2009;
Nordeste;Barro Preto - BA;04/08/2015;03/12/2018
Nordeste;Barrocas - BA;05/03/2009;03/12/2018
Nordeste;Belmonte - BA;09/02/2009;03/12/2018
Nordeste;Biritinga - BA;08/08/2014;03/12/2018
Nordeste;Boca da Mata - AL;09/02/2009;03/12/2018
Nordeste;Bocaina - PI;09/02/2009;03/12/2018
Nordeste;Bom Jesus - PI;14/10/2009;
Nordeste;Bom Jesus das Selvas - MA;11/11/2009;03/12/2018
Nordeste;Bom Princípio do Piauí - PI;09/02/2009;03/12/2018
Nordeste;Brasileira - PI;14/04/2009;03/12/2018
Nordeste;Brejinho - RN;10/12/2009;03/12/2018
Nordeste;Brejo - MA;20/07/2010;03/12/2018
Nordeste;Brejolândia - BA;10/10/2011;03/12/2018
Nordeste;Buriti dos Lopes - PI;14/05/2014;03/12/2018
Nordeste;Caaporã - PB;09/02/2009;03/12/2018
Nordeste;Cacimba de Areia - PB;09/02/2009;03/12/2018
Nordeste;Cafarnaum - BA;09/02/2009;03/12/2018
Nordeste;Cajueiro da Praia - PI;09/02/2009;03/12/2018
Nordeste;Campo Grande - RN;10/12/2009;03/12/2018
Nordeste;Campos Sales - CE;25/08/2010;03/12/2018
Nordeste;Canavieiras - BA;06/08/2013;03/12/2018
Nordeste;Canindé de São Francisco - SE;11/07/2013;03/12/2018
Nordeste;Cantanhede - MA;11/11/2009;03/12/2018
Nordeste;Canto do Buriti - PI;08/08/2014;04/12/2020
Nordeste;Capela - SE;20/07/2010;03/12/2018
Nordeste;Caravelas - BA;09/02/2009;03/12/2018
Nordeste;Caravelas - BA;30/09/2019;15/02/2024
Nordeste;Catolé do Rocha - PB;07/07/2011;03/12/2018
Nordeste;Caucaia - CE;20/09/2023;
Nordeste;Cerro Corá - RN;07/07/2011;03/12/2018
Nordeste;Cocos - BA;12/09/2013;
Nordeste;Codó - MA;09/02/2009;03/12/2018
Nordeste;Coivaras - PI;14/04/2009;03/12/2018
Nordeste;Conceição - PB;14/04/2009;03/12/2018
Nordeste;Coqueiro Seco - AL;09/08/2011;03/12/2018
Nordeste;Corrente - PI;09/03/2010;03/12/2018
Nordeste;Correntina - BA;13/08/2009;04/12/2020
Nordeste;Coruripe - AL;09/02/2009;03/12/2018
Nordeste;Coruripe - AL;18/08/2021;
Nordeste;Cotegipe - BA;06/08/2013;03/12/2018
Nordeste;Crateús - CE;14/10/2010;03/12/2018
Nordeste;Croatá - CE;28/10/2014;03/12/2018
Nordeste;Currais - PI;06/07/2023;
Nordeste;Currais Novos - RN;07/07/2011;03/12/2018
Nordeste;Dormentes - PE;09/02/2009;03/12/2018
Nordeste;Estreito - MA;11/04/2014;03/12/2018
Nordeste;Eunápolis - BA;06/08/2013;04/12/2020
Nordeste;Eunápolis - BA;07/07/2022;
Nordeste;Extremoz - RN;08/10/2013;03/12/2018
Nordeste;Florânia - RN;09/02/2009;03/12/2018
Nordeste;Formosa do Rio Preto - BA;13/08/2009;
Nordeste;Fortaleza dos Nogueiras - MA;05/05/2015;03/12/2018
Nordeste;Glória - BA;22/04/2013;03/12/2018
Nordeste;Goianinha - RN;08/01/2014;03/12/2018
Nordeste;Grajaú - MA;09/09/2021;28/12/2023
Nordeste;Gravatá - PE;24/10/2023;
Nordeste;Guaraciaba do Norte - CE;28/10/2014;03/12/2018
Nordeste;Iaçu - BA;09/02/2009;03/12/2018
Nordeste;Ibateguara - AL;09/02/2009;03/12/2018
Nordeste;Ibiapina - CE;07/07/2011;03/12/2018
Nordeste;Ibotirama - BA;11/11/2009;03/12/2018
Nordeste;Icó - CE;07/07/2011;03/12/2018
Nordeste;Igarassu - PE;09/02/2009;03/12/2018
Nordeste;Iguatu - CE;25/08/2010;03/12/2018
Nordeste;Ilha Grande - PI;14/04/2009;03/12/2018
Nordeste;Ilhéus - BA;11/04/2014;03/12/2018
Nordeste;Independência - CE;08/08/2014;03/12/2018
Nordeste;Ingá - PB;25/08/2010;03/12/2018
Nordeste;Inhambupe - BA;19/06/2013;03/12/2018
Nordeste;Ipiranga do Piauí - PI;05/03/2009;03/12/2018
Nordeste;Ipu - CE;11/07/2014;03/12/2018
Nordeste;Itabaiana - SE;02/06/2021;
Nordeste;Itabaianinha - SE;11/11/2009;
Nordeste;Itaberaba - BA;13/09/2012;03/12/2018
Nordeste;Itacaré - BA;08/10/2013;03/12/2018
Nordeste;Itagimirim - BA;06/08/2013;03/12/2018
Nordeste;Itagimirim - BA;02/10/2020;
Nordeste;Itamaraju - BA;09/02/2009;03/12/2018
Nordeste;Itamaraju - BA;24/10/2023;
Nordeste;Itanhém - BA;24/06/2009;03/12/2018
Nordeste;Itapicuru - BA;22/04/2013;03/12/2018
Nordeste;Itaporanga - PB;06/08/2013;03/12/2018
Nordeste;Itaporanga d'Ajuda - SE;09/02/2009;
Nordeste;Itiúba - BA;16/10/2012;03/12/2018
Nordeste;Jaborandi - BA;08/10/2013;03/12/2018
Nordeste;Jaborandi - BA;16/09/2022;
Nordeste;Jacobina - BA;22/04/2013;03/12/2018
Nordeste;Jaguarari - BA;13/08/2009;03/12/2018
Nordeste;Jaguaretama - CE;08/08/2014;03/12/2018
Nordeste;Japaratuba - SE;04/11/2015;03/12/2018
Nordeste;João Câmara - RN;07/07/2011;03/12/2018
Nordeste;João Pessoa - PB;11/03/2013;
Nordeste;Jussiape - BA;14/04/2009;03/12/2018
Nordeste;Lagoa Grande - PE;11/02/2014;04/12/2020
Nordeste;Lagoa Real - BA;08/09/2010;03/12/2018
Nordeste;Lajedão - BA;12/09/2013;03/12/2018
Nordeste;Landri Sales - PI;25/04/2023;
Nordeste;Laranjeiras - SE;09/02/2009;03/12/2018
Nordeste;Limoeiro - PE;05/05/2015;03/12/2018
Nordeste;Luís Correia - PI;09/02/2009;03/12/2018
Nordeste;Luís Eduardo Magalhães - BA;13/08/2009;
Nordeste;Maetinga - BA;07/05/2012;03/12/2018
Nordeste;Maracás - BA;14/04/2009;03/12/2018
Nordeste;Maragogi - AL;09/02/2009;03/12/2018
Nordeste;Maraú - BA;12/09/2013;03/12/2018
Nordeste;Mata de São João - BA;19/05/2009;04/12/2020
Nordeste;Medeiros Neto - BA;09/02/2009;03/12/2018
Nordeste;Messias - AL;09/02/2009;03/12/2018
Nordeste;Monsenhor Tabosa - CE;08/08/2014;03/12/2018
Nordeste;Monte Horebe - PB;10/09/2020;04/12/2023
Nordeste;Morro do Chapéu - BA;19/03/2014;03/12/2018
Nordeste;Mucugê - BA;20/12/2010;03/12/2018
Nordeste;Mucuri - BA;09/02/2009;28/12/2023
Nordeste;Nísia Floresta - RN;09/02/2009;03/12/2018
Nordeste;Nossa Senhora da Glória - SE;09/11/2012;03/12/2018
Nordeste;Nova Cruz - RN;12/09/2013;03/12/2018
Nordeste;Nova Russas - CE;08/08/2014;03/12/2018
Nordeste;Nova Viçosa - BA;09/02/2009;03/12/2018
Nordeste;Novo Horizonte - BA;14/10/2010;03/12/2018
Nordeste;Oeiras - PI;08/08/2014;03/12/2018
Nordeste;Oeiras - PI;09/08/2023;
Nordeste;Palhano - CE;09/02/2009;03/12/2018
Nordeste;Palmeira do Piauí - PI;09/02/2009;03/12/2018
Nordeste;Paratinga - BA;11/02/2014;03/12/2018
Nordeste;Paripiranga - BA;04/09/2009;03/12/2018
Nordeste;Passa e Fica - RN;12/09/2013;03/12/2018
Nordeste;Pau dos Ferros - RN;08/02/2011;03/12/2018
Nordeste;Paudalho - PE;11/07/2013;03/12/2018
Nordeste;Paulistana - PI;09/02/2009;04/12/2020
Nordeste;Paulo Afonso - BA;22/04/2013;03/12/2018
Nordeste;Pé de Serra - BA;19/06/2013;03/12/2018
Nordeste;Pedras de Fogo - PB;09/02/2009;03/12/2018
Nordeste;Pedreiras - MA;09/02/2009;03/12/2018
Nordeste;Pendências - RN;05/03/2009;03/12/2018
Nordeste;Penedo - AL;07/07/2011;04/12/2020
Nordeste;Pentecoste - CE;09/08/2011;03/12/2018
Nordeste;Petrolina - PE;14/05/2013;03/12/2018
Nordeste;Pilão Arcado - BA;12/09/2013;03/12/2018
Nordeste;Pimenteiras - PI;08/10/2013;03/12/2018
Nordeste;Pio IX - PI;05/03/2009;03/12/2018
Nordeste;Piripá - BA;12/09/2013;03/12/2018
Nordeste;Ponto Novo - BA;22/04/2013;03/12/2018
Nordeste;Porto - PI;09/02/2009;03/12/2018
Nordeste;Porto Calvo - AL;10/10/2011;03/12/2018
Nordeste;Prado - BA;09/02/2009;03/12/2018
Nordeste;Presidente Tancredo Neves - BA;06/10/2015;03/12/2018
Nordeste;Quijingue - BA;10/12/2009;03/12/2018
Nordeste;Quiterianópolis - CE;08/08/2014;03/12/2018
Nordeste;Quixelô - CE;09/08/2011;03/12/2018
Nordeste;Redenção do Gurguéia - PI;09/02/2009;03/12/2018
Nordeste;Riachão - MA;26/07/2023;
Nordeste;Riachão das Neves - BA;07/07/2009;
Nordeste;Ribeira do Pombal - BA;11/02/2014;03/12/2018
Nordeste;Ribeiro Gonçalves - PI;17/04/2012;
Nordeste;Rio Tinto - PB;09/02/2009;03/12/2018
Nordeste;Santa Cruz - RN;05/03/2009;31/12/2018
Nordeste;Santa Cruz Cabrália - BA;09/02/2009;23/12/2020
Nordeste;Santa Inês - BA;09/02/2009;04/12/2020
Nordeste;Santa Inês - MA;13/09/2012;03/12/2018
Nordeste;Santa Luzia do Itanhy - SE;11/11/2013;03/12/2018
Nordeste;Santa Quitéria - CE;08/08/2014;03/12/2018
Nordeste;Santa Teresinha - BA;09/02/2009;03/12/2018
Nordeste;Santana - BA;13/08/2009;03/12/2018
Nordeste;São Bento do Norte - RN;09/02/2009;03/12/2018
Nordeste;São Desidério - BA;07/07/2009;
Nordeste;São Francisco do Brejão - MA;08/12/2011;03/12/2018
Nordeste;São Gonçalo do Amarante - RN;08/04/2010;03/12/2018
Nordeste;São João da Varjota - PI;05/03/2009;03/12/2018
Nordeste;São João do Soter - MA;11/04/2011;03/12/2018
Nordeste;São Joaquim do Monte - PE;09/02/2009;03/12/2018
Nordeste;São José de Mipibu - RN;07/07/2022;
Nordeste;São Sebastião do Passé - BA;08/04/2010;03/12/2018
Nordeste;São Tomé - RN;05/03/2009;03/12/2018
Nordeste;Sebastião Leal - PI;05/05/2015;03/12/2018
Nordeste;Senhor do Bonfim - BA;08/10/2013;03/12/2018
Nordeste;Serra Dourada - BA;09/02/2009;03/12/2018
Nordeste;Serra Negra do Norte - RN;19/05/2009;18/12/2009
Nordeste;Serrinha - BA;24/02/2010;03/12/2018
Nordeste;Serrinha - RN;10/12/2009;03/12/2018
Nordeste;Sítio do Quinto - BA;16/06/2010;03/12/2018
Nordeste;Sobrado - PB;11/11/2013;04/12/2020
Nordeste;Tabocas do Brejo Velho - BA;08/10/2013;03/12/2018
Nordeste;Tauá - CE;09/08/2011;03/12/2018
Nordeste;Teixeira de Freitas - BA;06/08/2013;
Nordeste;Tenente Laurentino Cruz - RN;09/02/2009;03/12/2018
Nordeste;Teotônio Vilela - AL;24/10/2023;
Nordeste;Teresina - PI;30/08/2022;
Nordeste;Timon - MA;09/02/2009;04/12/2020
Nordeste;Touros - RN;09/02/2009;03/12/2018
Nordeste;Tururu - CE;28/10/2014;03/12/2018
Nordeste;Una - BA;16/06/2010;04/12/2020
Nordeste;União - PI;05/05/2015;03/12/2018
Nordeste;Urbano Santos - MA;06/07/2016;03/12/2018
Nordeste;Uruçuí - PI;10/12/2009;03/12/2018
Nordeste;Uruçuí - PI;10/09/2020;
Nordeste;Utinga - BA;09/02/2009;03/12/2018
Nordeste;Várzea da Roça - BA;14/04/2009;03/12/2018
Nordeste;Varzedo - BA;18/11/2010;03/12/2018
Nordeste;Vera Cruz - RN;09/02/2009;03/12/2018
Nordeste;Vitória da Conquista - BA;22/09/2020;
Nordeste;Wenceslau Guimarães - BA;06/10/2015;03/12/2018
Nordeste;Xique-Xique - BA;10/06/2014;
Norte;Abaetetuba - PA;06/07/2012;03/12/2018
Norte;Abel Figueiredo - PA;11/03/2013;03/12/2018
Norte;Abreulândia - TO;09/02/2009;03/12/2018
Norte;Água Azul do Norte - PA;07/05/2010;03/12/2018
Norte;Aguiarnópolis - TO;19/06/2013;04/12/2020
Norte;Aliança do Tocantins - TO;09/02/2009;
Norte;Altamira - PA;09/02/2009;03/12/2018
Norte;Alvorada - TO;05/03/2009;
Norte;Alvorada d'Oeste - RO;10/12/2020;
Norte;Anajás - PA;12/09/2013;03/12/2018
Norte;Ananás - TO;09/02/2009;03/12/2018
Norte;Ananindeua - PA;06/07/2012;03/12/2018
Norte;Anapu - PA;05/03/2009;03/12/2018
Norte;Angico - TO;09/02/2009;03/12/2018
Norte;Aparecida do Rio Negro - TO;09/02/2009;04/12/2020
Norte;Aparecida do Rio Negro - TO;26/07/2023;
Norte;Apuí - AM;09/02/2009;03/12/2018
Norte;Aragominas - TO;09/02/2009;03/12/2018
Norte;Araguacema - TO;09/02/2009;04/12/2020
Norte;Araguaçu - TO;05/03/2009;
Norte;Araguaína - TO;09/02/2009;
Norte;Araguanã - TO;04/12/2008;03/12/2018
Norte;Araguatins - TO;05/03/2009;03/12/2018
Norte;Arapoema - TO;03/06/2015;03/12/2018
Norte;Ariquemes - RO;09/02/2009;03/12/2018
Norte;Ariquemes - RO;28/01/2020;
Norte;Arraias - TO;09/02/2009;23/12/2020
Norte;Arraias - TO;07/06/2023;
Norte;Augustinópolis - TO;09/02/2009;03/12/2018
Norte;Bandeirantes do Tocantins - TO;24/03/2015;03/12/2018
Norte;Bandeirantes do Tocantins - TO;30/08/2022;
Norte;Bernardo Sayão - TO;09/02/2009;03/12/2018
Norte;Bernardo Sayão - TO;30/11/2021;
Norte;Bom Jesus do Tocantins - PA;04/11/2015;03/12/2018
Norte;Bragança - PA;09/02/2009;03/12/2018
Norte;Brasil Novo - PA;09/02/2009;03/12/2018
Norte;Brasilândia do Tocantins - TO;09/02/2009;15/02/2024
Norte;Brejinho de Nazaré - TO;09/02/2009;
Norte;Buriti do Tocantins - TO;09/02/2009;03/12/2018
Norte;Cacoal - RO;09/02/2009;03/12/2018
Norte;Cacoal - RO;16/09/2022;
Norte;Campo Novo de Rondônia - RO;08/08/2014;03/12/2018
Norte;Campo Novo de Rondônia - RO;02/08/2019;
Norte;Campos Lindos - TO;11/11/2013;03/12/2018
Norte;Campos Lindos - TO;27/09/2019;
Norte;Cariri do Tocantins - TO;09/02/2009;
Norte;Carmolândia - TO;11/11/2011;03/12/2018
Norte;Carmolândia - TO;30/08/2022;
Norte;Caseara - TO;02/08/2019;
Norte;Castanhal - PA;16/03/2023;
Norte;Cerejeiras - RO;09/02/2009;03/12/2018
Norte;Cerejeiras - RO;07/06/2023;
Norte;Chapada da Natividade - TO;09/02/2009;04/12/2020
Norte;Chapada da Natividade - TO;06/07/2023;
Norte;Chupinguaia - RO;05/03/2009;03/12/2018
Norte;Colinas do Tocantins - TO;05/09/2011;
Norte;Colméia - TO;09/02/2009;04/12/2020
Norte;Colorado do Oeste - RO;24/06/2009;03/12/2018
Norte;Colorado do Oeste - RO;30/08/2022;
Norte;Couto Magalhães - TO;09/02/2009;03/12/2018
Norte;Couto Magalhães - TO;27/02/2023;
Norte;Cristalândia - TO;28/05/2019;28/12/2020
Norte;Cristalândia - TO;07/06/2023;
Norte;Crixás do Tocantins - TO;14/04/2009;03/12/2018
Norte;Crixás do Tocantins - TO;20/03/2020;
Norte;Cujubim - RO;11/11/2009;03/12/2018
Norte;Cujubim - RO;24/10/2019;
Norte;Darcinópolis - TO;09/02/2009;03/12/2018
Norte;Dianópolis - TO;07/01/2009;
Norte;Dois Irmãos do Tocantins - TO;09/02/2009;04/12/2020
Norte;Dois Irmãos do Tocantins - TO;01/12/2023;
Norte;Dom Eliseu - PA;05/03/2009;03/12/2018
Norte;Dom Eliseu - PA;02/08/2019;04/10/2023
Norte;Dueré - TO;09/02/2009;15/02/2024
Norte;Eldorado dos Carajás - PA;07/06/2023;
Norte;Fátima - TO;09/02/2009;23/12/2020
Norte;Figueirópolis - TO;09/02/2009;
Norte;Filadélfia - TO;16/03/2012;04/12/2020
Norte;Floresta do Araguaia - PA;22/07/2022;
Norte;Formoso do Araguaia - TO;09/02/2009;
Norte;Fortaleza do Tabocão - TO;09/02/2009;03/12/2018
Norte;Goianésia do Pará - PA;19/05/2009;03/12/2018
Norte;Goianorte - TO;09/02/2009;
Norte;Goiatins - TO;09/02/2009;03/12/2018
Norte;Guaraí - TO;09/02/2009;23/12/2020
Norte;Gurupi - TO;29/09/2021;
Norte;Humaitá - AM;08/04/2010;03/12/2018
Norte;Itacajá - TO;09/02/2009;23/12/2020
Norte;Itaguatins - TO;09/02/2009;03/12/2018
Norte;Itaituba - PA;11/11/2009;03/12/2018
Norte;Itapiratins - TO;02/12/2015;
Norte;Itaporã do Tocantins - TO;02/08/2019;04/10/2023
Norte;Itupiranga - PA;02/12/2015;
Norte;Jaru - RO;02/06/2021;
Norte;Jaú do Tocantins - TO;09/02/2009;
Norte;Ji-Paraná - RO;20/02/2015;
Norte;Juarina - TO;09/02/2009;04/12/2020
Norte;Lagoa da Confusão - TO;09/02/2009;
Norte;Lagoa do Tocantins - TO;09/02/2009;03/12/2018
Norte;Lajeado - TO;05/03/2009;03/12/2018
Norte;Lavandeira - TO;02/08/2019;
Norte;Lizarda - TO;09/02/2009;03/12/2018
Norte;Macapá - AP;12/09/2013;03/12/2018
Norte;Machadinho d'Oeste - RO;02/08/2019;
Norte;Mãe do Rio - PA;10/09/2014;03/12/2018
Norte;Manaquiri - AM;08/09/2010;03/12/2018
Norte;Manaus - AM;09/02/2009;22/06/2021
Norte;Marabá - PA;28/05/2019;
Norte;Marianópolis do Tocantins - TO;28/05/2019;
Norte;Maurilândia do Tocantins - TO;09/02/2009;03/12/2018
Norte;Miracema do Tocantins - TO;05/03/2009;
Norte;Miranorte - TO;09/02/2009;
Norte;Monte do Carmo - TO;14/04/2009;
Norte;Monte Negro - RO;02/08/2019;
Norte;Mucajaí - RR;23/12/2021;
Norte;Natividade - TO;09/02/2009;03/12/2018
Norte;Nova Ipixuna - PA;02/12/2015;03/12/2018
Norte;Nova Olinda - TO;04/11/2015;
Norte;Nova União - RO;09/02/2009;03/12/2018
Norte;Novo Acordo - TO;09/02/2009;03/12/2018
Norte;Novo Horizonte do Oeste - RO;22/04/2013;03/12/2018
Norte;Novo Horizonte do Oeste - RO;10/09/2020;
Norte;Novo Progresso - PA;13/08/2009;04/12/2020
Norte;Novo Progresso - PA;30/08/2021;
Norte;Novo Repartimento - PA;28/05/2019;
Norte;Ourilândia do Norte - PA;11/02/2014;
Norte;Palmas - TO;09/02/2009;
Norte;Palmeirante - TO;04/08/2015;03/12/2018
Norte;Palmeiras do Tocantins - TO;09/02/2009;03/12/2018
Norte;Palmeirópolis - TO;19/03/2014;
Norte;Paragominas - PA;14/04/2009;03/12/2018
Norte;Paragominas - PA;02/08/2019;
Norte;Parauapebas - PA;11/03/2013;
Norte;Pau d'Arco - PA;09/02/2009;03/12/2018
Norte;Pedro Afonso - TO;09/02/2009;04/12/2020
Norte;Pedro Afonso - TO;06/07/2023;
Norte;Peixe - TO;09/02/2009;
Norte;Pequizeiro - TO;09/02/2009;23/12/2020
Norte;Pequizeiro - TO;30/08/2021;
Norte;Pimenta Bueno - RO;07/07/2011;03/12/2018
Norte;Pimenta Bueno - RO;30/11/2021;
Norte;Pium - TO;09/02/2009;14/04/2022
Norte;Pium - TO;24/10/2023;
Norte;Ponta de Pedras - PA;09/02/2009;03/12/2018
Norte;Ponte Alta do Tocantins - TO;02/08/2019;
Norte;Portel - PA;10/12/2013;03/12/2018
Norte;Porto Alegre do Tocantins - TO;09/02/2009;04/12/2020
Norte;Porto Nacional - TO;09/02/2009;
Norte;Porto Velho - RO;28/01/2020;
Norte;Primavera - PA;04/08/2015;03/12/2018
Norte;Pugmil - TO;09/02/2009;03/12/2018
Norte;Redenção - PA;24/03/2015;
Norte;Riachinho - TO;11/11/2009;03/12/2018
Norte;Rio Branco - AC;01/02/2024;
Norte;Rio da Conceição - TO;09/02/2009;03/12/2018
Norte;Rio dos Bois - TO;09/02/2009;23/12/2020
Norte;Rio Maria - PA;28/01/2020;
Norte;Rio Sono - TO;09/02/2009;03/12/2018
Norte;Rolim de Moura - RO;04/03/2011;03/12/2018
Norte;Sandolândia - TO;09/02/2009;03/12/2018
Norte;Sandolândia - TO;19/05/2020;
Norte;Santa Fé do Araguaia - TO;09/02/2009;03/12/2018
Norte;Santa Fé do Araguaia - TO;22/07/2022;
Norte;Santa Luzia d'Oeste - RO;10/09/2020;
Norte;Santa Maria do Pará - PA;04/09/2009;03/12/2018
Norte;Santa Rita do Tocantins - TO;11/07/2013;
Norte;Santa Rosa do Tocantins - TO;02/08/2019;
Norte;Santana - AP;09/02/2009;03/12/2018
Norte;Santana do Araguaia - PA;09/02/2009;03/12/2018
Norte;Santana do Araguaia - PA;29/09/2021;
Norte;Santarém - PA;09/02/2009;03/12/2018
Norte;São Felipe d'Oeste - RO;26/07/2023;
Norte;São Félix do Tocantins - TO;09/02/2009;03/12/2018
Norte;São Félix do Xingu - PA;13/08/2009;
Norte;São Francisco do Guaporé - RO;22/07/2022;
Norte;São Miguel do Guamá - PA;11/11/2013;03/12/2018
Norte;São Salvador do Tocantins - TO;09/02/2009;
Norte;São Valério da Natividade - TO;08/10/2013;11/08/2023
